group	chao	shannon	cow	type	lact_period	eff_inoc	donor
HE_S_3_10	2194.827957	6.060362	HE	S	.	HE	Y
HE_S_3_15	2353.2	6.154378	HE	S	.	HE	Y
HE_S_6_5	2334.378571	6.214137	HE	S	.	HE	Y
LE_I_1_27	1757.530612	5.109805	LE	I	.	LE	Y
LE_I_1_30	3175.148014	5.695422	LE	I	.	LE	Y
LE_I_2_1	1765.271028	5.179823	LE	I	.	LE	Y
LE_I_2_10	1769.422018	5.346768	LE	I	.	LE	Y
LE_I_2_13	2776.915441	6.160676	LE	I	.	LE	Y
LE_I_2_15	1823.994565	5.102485	LE	I	.	LE	Y
LE_I_2_17	1958.963303	5.120048	LE	I	.	LE	Y
LE_I_2_27	1651	5.19845	LE	I	.	LE	Y
LE_I_2_3	1791.862637	5.051766	LE	I	.	LE	Y
LE_I_3_1	1834.412556	4.934797	LE	I	.	LE	Y
LE_I_3_10	2022.280612	5.637572	LE	I	.	LE	Y
LE_I_3_13	1683.6	5.654209	LE	I	.	LE	Y
LE_I_3_15	1605.881657	4.542628	LE	I	.	LE	Y
LE_I_3_17	1817.163934	5.802514	LE	I	.	LE	Y
LE_I_3_20	1766.706667	5.767689	LE	I	.	LE	Y
LE_I_3_24	2004.141414	5.192702	LE	I	.	LE	Y
LE_I_3_27	2156.441718	5.738881	LE	I	.	LE	Y
LE_I_3_3	1844.376744	5.238222	LE	I	.	LE	Y
LE_I_3_31	4537.666667	5.602595	LE	I	.	LE	Y
LE_I_3_8	1790.019737	4.512737	LE	I	.	LE	Y
LE_I_4_03	1747.955446	5.235158	LE	I	.	LE	Y
LE_I_4_10	2632.607004	6.153065	LE	I	.	LE	Y
LE_I_4_17	1722.148936	5.266877	LE	I	.	LE	Y
LE_I_4_19	2861.509434	5.48881	LE	I	.	LE	Y
LE_I_4_24	2858.686567	5.257858	LE	I	.	LE	Y
LE_I_4_28	1362.180124	4.926678	LE	I	.	LE	Y
LE_I_4_30	1475.803922	5.091135	LE	I	.	LE	Y
LE_I_4_5	1536.693878	4.75015	LE	I	.	LE	Y
LE_I_5_01	1850.454545	4.972733	LE	I	.	LE	Y
LE_I_5_03	1363.042553	5.3468	LE	I	.	LE	Y
